RHC,1,0.593,0.592,0.027,0.517
SA,1,0.883,0.882,0.030,0.161
GA,1,0.117,0.118,2.712,0.097
RHC,6,0.883,0.882,0.155,0.480
SA,6,0.117,0.118,0.237,0.156
GA,6,0.117,0.118,14.004,0.092
RHC,11,0.200,0.202,0.293,0.418
SA,11,0.658,0.658,0.390,0.125
GA,11,0.117,0.118,22.915,0.068
RHC,16,0.883,0.882,0.596,0.360
SA,16,0.883,0.882,0.470,0.111
GA,16,0.117,0.118,31.576,0.052
RHC,21,0.176,0.177,1.003,0.252
SA,21,0.117,0.118,0.580,0.109
GA,21,0.117,0.118,39.016,0.068
RHC,26,0.883,0.882,0.861,0.338
SA,26,0.117,0.118,1.533,0.146
GA,26,0.117,0.118,79.033,0.123
RHC,31,0.525,0.525,1.096,0.326
SA,31,0.883,0.882,1.712,0.141
GA,31,0.117,0.118,92.687,0.095
RHC,36,0.164,0.163,1.510,0.353
SA,36,0.883,0.882,1.510,0.145
GA,36,0.117,0.118,105.610,0.084
RHC,41,0.117,0.118,1.723,0.394
SA,41,0.883,0.882,1.604,0.165
GA,41,0.117,0.118,116.522,0.077
RHC,46,0.147,0.147,2.099,0.374
SA,46,0.337,0.349,1.665,0.163
GA,46,0.117,0.118,123.942,0.068
RHC,51,0.117,0.118,2.273,0.382
SA,51,0.117,0.118,1.653,0.151
GA,51,0.117,0.118,132.587,0.050
RHC,56,0.804,0.806,2.608,0.283
SA,56,0.883,0.882,1.981,0.158
GA,56,0.117,0.118,140.386,0.051
RHC,61,0.872,0.869,1.887,0.443
SA,61,0.883,0.882,2.369,0.155
GA,61,0.117,0.118,191.146,0.116
RHC,66,0.883,0.882,2.147,0.379
SA,66,0.883,0.882,2.492,0.153
GA,66,0.117,0.118,202.887,0.098
RHC,71,0.357,0.356,2.050,0.414
SA,71,0.883,0.882,2.782,0.161
GA,71,0.117,0.118,220.674,0.082
RHC,76,0.876,0.875,2.848,0.281
SA,76,0.559,0.553,2.633,0.167
GA,76,0.117,0.118,232.817,0.076
RHC,81,0.508,0.513,2.873,0.266
SA,81,0.117,0.118,2.908,0.138
GA,81,0.117,0.118,238.664,0.066
RHC,86,0.117,0.118,3.359,0.307
SA,86,0.828,0.827,3.004,0.155
GA,86,0.117,0.118,248.966,0.066
RHC,91,0.207,0.208,3.549,0.274
SA,91,0.883,0.882,3.188,0.146
GA,91,0.117,0.118,254.977,0.051
RHC,96,0.462,0.452,2.778,0.243
SA,96,0.883,0.882,3.531,0.155
GA,96,0.117,0.118,297.160,0.106
RHC,101,0.883,0.882,3.510,0.372
SA,101,0.883,0.882,3.226,0.153
GA,101,0.117,0.118,312.857,0.096
RHC,111,0.117,0.118,4.010,0.377
SA,111,0.117,0.118,3.380,0.137
GA,111,0.117,0.118,325.264,0.106
RHC,106,0.117,0.118,3.493,0.354
SA,106,0.117,0.118,3.738,0.161
GA,106,0.117,0.118,327.233,0.076
RHC,116,0.572,0.576,3.690,0.399
SA,116,0.883,0.882,3.526,0.153
GA,116,0.117,0.118,334.509,0.078
RHC,121,0.117,0.118,4.305,0.308
SA,121,0.883,0.882,4.042,0.144
GA,121,0.117,0.118,354.251,0.052
RHC,126,0.142,0.143,4.247,0.337
SA,126,0.117,0.118,4.014,0.153
GA,126,0.117,0.118,356.285,0.071
RHC,131,0.118,0.120,3.809,0.279
SA,131,0.179,0.179,4.319,0.150
GA,131,0.117,0.118,380.282,0.116
RHC,136,0.132,0.134,3.774,0.311
SA,136,0.883,0.882,4.449,0.131
GA,136,0.117,0.118,393.856,0.095
RHC,141,0.883,0.882,4.530,0.252
SA,141,0.117,0.118,4.453,0.146
GA,141,0.117,0.118,403.079,0.102
RHC,146,0.816,0.814,5.195,0.328
SA,146,0.120,0.121,4.409,0.160
GA,146,0.117,0.118,415.658,0.087
RHC,151,0.258,0.258,5.086,0.314
SA,151,0.117,0.118,4.340,0.153
GA,151,0.117,0.118,428.450,0.074
RHC,156,0.425,0.416,4.907,0.319
SA,156,0.489,0.480,4.867,0.153
GA,156,0.117,0.118,438.594,0.059
RHC,161,0.117,0.118,5.649,0.243
SA,161,0.883,0.882,5.129,0.148
GA,161,0.117,0.118,441.897,0.052
RHC,166,0.117,0.118,4.923,0.343
SA,166,0.117,0.118,5.609,0.177
GA,166,0.117,0.118,479.202,0.118
RHC,171,0.117,0.118,4.984,0.347
SA,171,0.883,0.882,4.963,0.173
GA,171,0.117,0.118,484.808,0.097
RHC,186,0.766,0.760,5.826,0.329
SA,186,0.181,0.183,5.675,0.197
GA,186,0.117,0.118,512.710,0.112
RHC,191,0.117,0.118,5.879,0.327
SA,191,0.134,0.136,5.746,0.179
GA,191,0.117,0.118,523.599,0.084
RHC,181,0.117,0.118,5.700,0.352
SA,181,0.883,0.882,5.063,0.184
GA,181,0.117,0.118,526.895,0.078
RHC,176,0.165,0.168,5.196,0.320
SA,176,0.883,0.882,5.376,0.184
GA,176,0.117,0.118,527.200,0.077
RHC,196,0.117,0.118,6.951,0.242
SA,196,0.210,0.211,5.748,0.176
GA,196,0.117,0.118,547.927,0.054
RHC,201,0.148,0.148,5.167,0.257
SA,201,0.117,0.118,6.099,0.185
GA,201,0.117,0.118,565.601,0.105
RHC,206,0.849,0.846,5.328,0.278
SA,206,0.117,0.118,6.124,0.177
GA,206,0.117,0.118,584.910,0.106
RHC,211,0.197,0.197,5.629,0.231
SA,211,0.883,0.882,6.309,0.123
GA,211,0.117,0.118,609.574,0.082
RHC,216,0.117,0.118,6.603,0.307
SA,216,0.117,0.118,5.868,0.178
GA,216,0.117,0.118,624.119,0.078
RHC,221,0.117,0.118,7.260,0.233
SA,221,0.863,0.862,6.566,0.199
GA,221,0.117,0.118,625.915,0.065
RHC,226,0.117,0.118,6.588,0.331
SA,226,0.883,0.882,6.448,0.181
GA,226,0.117,0.118,629.808,0.061
RHC,231,0.883,0.882,6.913,0.306
SA,231,0.810,0.807,6.600,0.198
GA,231,0.117,0.118,639.303,0.048
RHC,246,0.117,0.118,5.969,0.308
SA,246,0.117,0.118,6.111,0.139
GA,246,0.117,0.118,602.914,0.089
RHC,236,0.117,0.118,5.985,0.357
SA,236,0.883,0.882,6.438,0.142
GA,236,0.117,0.118,603.889,0.082
RHC,241,0.128,0.128,6.684,0.220
SA,241,0.858,0.858,6.283,0.149
GA,241,0.117,0.118,613.631,0.076
RHC,251,0.117,0.118,7.163,0.240
SA,251,0.825,0.825,6.693,0.148
GA,251,0.117,0.118,629.413,0.066
RHC,256,0.883,0.882,5.981,0.327
SA,256,0.883,0.882,7.293,0.146
GA,256,0.117,0.118,642.156,0.051
RHC,261,0.117,0.119,7.576,0.201
SA,261,0.223,0.225,6.626,0.132
GA,261,0.117,0.118,642.156,0.048
RHC,266,0.117,0.118,7.011,0.263
SA,266,0.117,0.118,6.534,0.128
GA,266,0.117,0.118,649.076,0.048
RHC,271,0.117,0.118,6.346,0.206
SA,271,0.117,0.118,7.193,0.123
GA,271,0.117,0.118,750.446,0.114
RHC,291,0.117,0.118,7.959,0.285
SA,291,0.347,0.340,6.668,0.113
GA,291,0.117,0.118,759.086,0.115
RHC,281,0.163,0.166,7.390,0.233
SA,281,0.883,0.882,6.997,0.159
GA,281,0.117,0.118,791.106,0.098
RHC,286,0.883,0.882,7.307,0.257
SA,286,0.883,0.882,7.364,0.114
GA,286,0.117,0.118,791.878,0.073
RHC,276,0.117,0.118,6.901,0.255
SA,276,0.808,0.808,7.406,0.141
GA,276,0.117,0.118,792.342,0.063
RHC,301,0.628,0.622,8.231,0.241
SA,301,0.883,0.882,8.083,0.125
GA,301,0.117,0.118,797.107,0.065
RHC,296,0.117,0.118,7.870,0.276
SA,296,0.117,0.118,7.295,0.139
GA,296,0.117,0.118,825.513,0.136
RHC,321,0.699,0.695,11.890,0.396
SA,321,0.268,0.270,11.640,0.146
GA,321,0.117,0.118,952.127,0.109
RHC,306,0.136,0.137,10.629,0.489
SA,306,0.883,0.882,10.935,0.134
GA,306,0.117,0.118,963.391,0.098
RHC,316,0.176,0.179,12.365,0.275
SA,316,0.883,0.882,9.928,0.140
GA,316,0.117,0.118,967.376,0.108
RHC,331,0.117,0.118,11.855,0.344
SA,331,0.117,0.118,10.844,0.133
GA,331,0.117,0.118,974.105,0.075
RHC,311,0.183,0.184,10.757,0.432
SA,311,0.387,0.385,10.663,0.138
GA,311,0.117,0.118,987.743,0.072
RHC,326,0.883,0.882,10.468,0.386
SA,326,0.117,0.118,11.412,0.164
GA,326,0.117,0.118,990.062,0.054
RHC,336,0.119,0.121,10.903,0.365
SA,336,0.352,0.356,11.775,0.143
GA,336,0.117,0.118,1013.671,0.054
RHC,346,0.117,0.118,10.950,0.262
SA,346,0.806,0.805,11.703,0.151
GA,346,0.117,0.118,1045.574,0.126
RHC,341,0.268,0.269,9.824,0.384
SA,341,0.117,0.118,10.762,0.137
GA,341,0.117,0.118,1073.054,0.126
RHC,361,0.117,0.118,9.858,0.389
SA,361,0.117,0.118,11.484,0.130
GA,361,0.117,0.118,1075.151,0.136
RHC,351,0.117,0.118,10.102,0.344
SA,351,0.175,0.172,12.361,0.148
GA,351,0.117,0.118,1098.855,0.105
RHC,356,0.117,0.118,11.858,0.255
SA,356,0.220,0.222,10.729,0.185
GA,356,0.117,0.118,1107.538,0.095
RHC,366,0.766,0.764,11.620,0.276
SA,366,0.883,0.882,12.039,0.163
GA,366,0.117,0.118,1118.666,0.079
RHC,371,0.117,0.118,10.822,0.298
SA,371,0.883,0.882,11.443,0.129
GA,371,0.117,0.118,1122.165,0.057
RHC,391,0.117,0.118,11.155,0.284
SA,391,0.883,0.882,11.913,0.149
GA,391,0.117,0.118,1182.667,0.103
RHC,406,0.117,0.118,13.036,0.321
SA,406,0.117,0.118,11.713,0.131
GA,406,0.117,0.118,1181.689,0.114
RHC,376,0.177,0.178,12.559,0.397
SA,376,0.883,0.882,12.593,0.133
